ip,timestamp,method,url,response_code,response_size
161.162.171.36,2026-01-01T08:13:21.335579,POST,explore,200,861
39.243.5.13,2026-01-02T18:18:23.460463,POST,category,500,6359
62.76.47.178,2026-01-22T03:35:36.757120,PUT,blog/search,301,3590
29.0.95.252,2026-02-03T14:25:05.463072,GET,app/categories/main,404,1706
60.16.99.232,2026-02-04T04:38:44.188726,POST,categories/search,500,1598
191.49.178.184,2026-01-11T18:51:51.031728,DELETE,wp-content/category/tag,301,3417
120.94.250.10,2026-02-06T21:04:29.388143,PUT,blog,301,5962
70.33.31.39,2026-02-15T05:12:52.744495,DELETE,tags/posts/blog,404,6084
161.102.182.16,2026-02-22T03:49:33.522582,POST,blog,200,7382
44.18.188.235,2026-01-26T06:42:23.559081,DELETE,app/posts/blog,500,309
139.140.244.236,2026-02-09T19:24:27.860748,PUT,tags/main/wp-content,200,7083
133.247.105.241,2026-01-20T16:34:15.636581,PUT,list/list/tags,500,4807
204.205.134.23,2026-02-12T17:40:40.324353,GET,app,404,4430
34.14.234.145,2026-02-18T06:22:12.870086,DELETE,tags/list,404,8653
43.129.129.23,2026-01-14T04:24:15.926712,GET,wp-content,500,5355
78.57.228.129,2026-01-18T10:27:46.315227,GET,tag/main/app,301,1276
88.86.125.185,2026-02-17T11:07:40.557348,GET,tags/tags/posts,200,4336
96.184.61.120,2026-01-09T22:09:28.799329,GET,search/list,500,2416
12.0.31.235,2026-02-21T17:06:54.694513,PUT,main/category/tags,500,6424
195.244.41.27,2026-01-23T06:28:11.574322,POST,tag/search,200,1880
216.76.176.44,2026-01-01T03:53:25.495391,POST,list/wp-content/search,500,5906
203.235.108.35,2026-02-06T09:04:58.765050,GET,list,500,7999
140.87.80.106,2026-02-21T03:41:22.946459,DELETE,blog/tag,404,1296
13.27.128.31,2026-02-04T16:41:20.261074,DELETE,search/explore,500,9937
104.144.253.234,2026-02-18T10:27:14.672294,PUT,app/explore,200,6243
147.127.232.9,2026-02-25T17:40:54.827966,POST,app,200,3968
138.27.9.151,2026-01-23T04:01:14.078465,GET,explore/list,301,6648
70.229.233.10,2026-02-04T09:44:47.048646,DELETE,list,404,2921
55.248.180.226,2026-02-27T02:05:01.788842,PUT,tag,200,8038
60.164.94.79,2026-01-22T21:54:47.340715,GET,main/list/posts,200,6258
67.47.133.223,2026-02-16T02:43:46.046860,GET,explore,500,2437
123.193.150.200,2026-02-05T05:19:03.990887,POST,tags/posts,200,419
145.248.30.7,2026-01-17T05:14:29.915995,DELETE,categories/main/tags,301,7318
2.19.161.227,2026-02-10T02:29:20.238950,GET,search,301,922
208.11.31.97,2026-01-03T20:36:42.974544,DELETE,tag/tags,500,6376
171.137.140.28,2026-01-28T21:04:46.110196,GET,blog,500,1576
130.242.227.42,2026-01-18T08:01:16.534108,GET,blog,200,1738
91.196.82.121,2026-02-08T02:44:52.812989,POST,list,500,1703
220.115.225.225,2026-02-08T15:34:08.697168,POST,posts/main,200,6215
201.103.204.239,2026-01-06T09:39:26.132458,GET,app/list/list,404,8204
45.14.229.136,2026-01-05T12:23:48.141932,GET,search/blog/categories,404,2644
56.221.106.241,2026-02-13T17:00:57.141659,POST,posts,301,1022
174.194.17.201,2026-01-28T09:43:56.925578,PUT,list/categories,404,5152
211.125.204.89,2026-01-19T03:45:14.323579,PUT,category/wp-content/tag,301,2189
111.3.40.46,2026-01-05T16:48:53.076853,PUT,category/category,404,9330
30.193.58.51,2026-02-21T19:01:07.393770,DELETE,list,301,605
210.186.121.178,2026-02-26T17:45:26.412754,DELETE,posts/explore/main,404,7266
182.19.213.61,2026-01-05T03:31:29.189705,POST,categories/categories,500,140
187.59.146.48,2026-02-23T17:45:10.681912,POST,explore,500,725
146.138.42.175,2026-01-23T08:47:40.191688,DELETE,posts/app/app,200,6988
18.174.215.120,2026-02-01T23:59:23.738167,PUT,category,500,1940
3.204.201.48,2026-01-12T12:02:38.171338,PUT,tags/category/posts,301,4705
35.97.75.146,2026-01-26T20:11:02.164477,POST,main,200,1375
119.2.173.21,2026-02-07T21:41:27.127299,DELETE,blog,301,2668
151.236.248.95,2026-02-20T23:35:05.105592,PUT,search,404,5431
5.71.161.108,2026-01-15T00:46:57.467891,GET,wp-content/list/category,301,4347
156.125.124.11,2026-01-02T23:41:15.074738,GET,category/main,500,1443
10.34.61.122,2026-01-15T12:26:19.602174,PUT,tag,404,2092
25.236.103.1,2026-01-18T17:04:13.977086,POST,wp-content/categories/search,404,2905
176.244.103.79,2026-01-26T00:06:51.400733,DELETE,categories,404,7586
28.18.249.238,2026-01-20T18:13:18.213732,PUT,categories/tags,404,4373
36.242.215.173,2026-02-18T09:55:48.025645,DELETE,tags/explore/app,301,1675
216.170.158.122,2026-01-14T17:41:41.775530,DELETE,posts/posts/search,500,4150
19.10.69.206,2026-02-02T17:12:26.896708,GET,tags/list,404,3873
135.212.27.230,2026-01-22T13:09:51.715849,DELETE,list,500,6699
164.138.188.18,2026-01-07T22:02:14.171079,DELETE,posts/tags/tags,404,3526
167.135.91.175,2026-01-22T09:28:21.674810,PUT,blog,301,5227
111.121.126.36,2026-01-30T13:04:02.918597,DELETE,blog/tags/tag,404,4191
10.162.111.55,2026-02-04T01:22:02.958411,POST,app/list/main,301,6401
36.24.181.164,2026-01-17T11:55:09.232811,POST,app,301,3274
206.135.217.81,2026-02-14T08:44:50.888932,PUT,tags/categories/main,301,2030
209.114.252.221,2026-02-18T14:39:54.820992,GET,search/category,200,951
44.70.148.125,2026-01-31T16:31:02.357811,PUT,category,500,1211
16.41.219.42,2026-01-12T15:00:43.462334,POST,search/category/posts,200,8978
132.167.0.6,2026-01-26T00:56:22.959143,DELETE,posts/posts,200,5352
70.102.192.214,2026-01-25T08:20:32.445546,GET,app/search/list,200,5028
205.216.92.243,2026-02-20T07:28:00.010795,POST,posts/search/explore,200,9713
60.10.17.131,2026-02-19T04:57:13.932395,PUT,wp-content/tag/tags,404,8198
103.255.244.132,2026-01-18T10:49:50.389561,PUT,app/explore/tags,500,4120
185.164.140.135,2026-01-29T15:11:12.696219,PUT,tag,404,2128
49.118.12.240,2026-02-08T05:32:19.867750,PUT,tag/wp-content/explore,301,2063
182.62.152.29,2026-01-29T08:18:53.657115,GET,main/wp-content,301,1777
24.241.83.178,2026-02-02T11:17:32.459330,POST,category,301,8848
123.1.75.106,2026-01-07T00:03:21.188963,PUT,explore/explore/tags,200,7083
174.92.90.17,2026-01-08T23:56:49.633033,PUT,search/list,200,650
178.230.69.228,2026-01-13T20:11:43.608032,GET,list,500,9776
29.215.246.250,2026-01-09T02:14:05.017172,DELETE,list/tags,404,4201
221.95.84.96,2026-01-25T15:21:30.322941,GET,app,500,8989
223.13.58.86,2026-01-05T00:21:14.369278,GET,posts/posts/categories,500,3927
19.239.137.217,2026-02-12T11:14:18.580336,GET,category/list/posts,404,8562
147.41.85.67,2026-02-10T06:16:41.087124,POST,posts/wp-content,500,376
130.69.168.228,2026-02-03T17:00:30.331706,GET,wp-content/explore/main,200,4265
88.13.57.176,2026-02-01T22:19:32.823243,POST,posts/blog,301,8559
192.122.122.189,2026-01-18T13:06:30.798568,DELETE,list/blog,500,7553
104.56.13.239,2026-01-23T02:13:06.934314,POST,tags/list/category,404,9328
138.98.140.68,2026-02-04T21:27:05.061347,DELETE,wp-content/app,500,6516
74.128.118.193,2026-02-23T16:34:03.075303,GET,app,404,4301
125.134.35.107,2026-02-16T01:17:18.494732,POST,main/main,500,6746
201.182.96.103,2026-01-03T20:48:41.425804,POST,posts/wp-content/tag,500,5348
83.198.101.132,2026-01-11T16:04:25.890682,PUT,app/search/wp-content,500,8382
104.147.234.67,2026-01-09T04:46:44.092221,POST,list,404,2102
19.190.163.52,2026-01-27T01:25:25.366449,DELETE,posts/categories/wp-content,404,9295
180.49.251.21,2026-02-25T07:42:57.253668,GET,explore/categories,200,2044
96.129.143.167,2026-01-07T15:32:01.474829,DELETE,explore,500,9671
173.141.65.171,2026-01-20T14:10:02.604897,GET,search/app/blog,404,6847
63.190.165.49,2026-01-01T21:35:55.070241,POST,search/blog,404,139
95.78.240.201,2026-02-13T12:58:44.265882,POST,tags/wp-content/blog,500,5910
14.183.77.149,2026-01-05T05:15:28.346912,DELETE,list/wp-content/category,404,4711
33.231.98.73,2026-02-24T15:43:08.740010,PUT,list,301,191
77.55.35.91,2026-01-29T18:43:52.948446,GET,tags/blog/list,500,6983
141.229.192.200,2026-01-17T07:25:33.128439,POST,blog/search/category,404,2756
122.220.0.14,2026-02-11T07:06:11.388037,PUT,wp-content/app,200,6656
46.101.46.111,2026-02-19T14:54:28.019751,DELETE,posts/category/app,404,5585
40.27.90.17,2026-01-29T12:17:22.775102,GET,explore/category,500,3409
169.178.31.166,2026-01-28T16:35:15.570626,POST,wp-content/tags/explore,500,2771
202.253.69.4,2026-01-29T00:54:20.082674,POST,blog,200,7916
203.100.1.201,2026-02-23T00:50:13.167953,PUT,tags,500,3908
172.119.199.24,2026-01-07T06:59:04.995157,DELETE,explore/wp-content/blog,500,4567
86.109.137.123,2026-02-23T09:47:38.197170,GET,blog/category/explore,301,5561
173.186.170.2,2026-02-26T13:05:19.685692,DELETE,main,200,4081
142.253.147.87,2026-02-18T05:46:03.436853,POST,list/blog,404,7366
78.209.11.122,2026-02-27T17:36:25.589668,DELETE,categories/explore,404,166
204.27.116.165,2026-01-05T05:26:38.459808,DELETE,main/posts/category,200,1378
222.172.162.179,2026-01-04T03:34:52.916472,GET,tag,500,5207
65.39.209.107,2026-01-26T22:06:38.437884,GET,list/search,500,2200
24.152.170.87,2026-02-07T12:10:19.457916,PUT,search/list/posts,200,6903
81.251.117.112,2026-01-06T11:09:49.662129,GET,blog/posts/posts,301,4242
184.92.129.110,2026-01-07T16:45:16.411727,DELETE,app/app,500,2907
163.74.204.204,2026-02-26T23:51:21.847117,DELETE,app/search,200,7830
133.151.178.194,2026-02-13T12:58:06.895036,DELETE,category/tags,500,5958
175.48.206.11,2026-02-21T08:45:47.405664,GET,posts/search,500,1542
131.241.184.188,2026-02-26T14:05:47.363438,POST,tags,404,341
53.141.16.22,2026-02-09T04:57:25.919999,DELETE,blog/tags/list,200,571
178.213.218.66,2026-01-29T09:44:07.636180,DELETE,explore,500,9738
3.119.32.232,2026-02-16T22:25:27.269857,PUT,wp-content/tag/main,404,8213
148.142.167.199,2026-01-05T17:11:20.101257,PUT,search/posts/tags,404,8037
103.198.205.111,2026-01-16T11:41:41.872643,DELETE,posts,404,4980
182.142.235.38,2026-01-19T10:52:22.573779,DELETE,blog,301,5391
216.61.218.102,2026-01-04T09:10:31.314430,DELETE,tag/app,200,5902
10.144.229.246,2026-02-25T19:19:30.923459,GET,explore/blog,200,8535
62.213.228.218,2026-02-24T21:09:29.022544,DELETE,app/explore/search,200,896
32.188.253.254,2026-01-21T11:12:24.225701,POST,search,301,5491
115.231.14.21,2026-02-19T17:50:47.318041,DELETE,blog,500,1526
155.188.56.22,2026-01-20T07:28:50.488642,POST,tag,301,9250
96.40.56.30,2026-02-11T01:40:49.175508,POST,search,301,6310
130.221.169.255,2026-01-10T17:04:13.240270,GET,posts/category/explore,404,5582
140.210.30.38,2026-02-08T10:48:17.894091,PUT,category/explore/list,404,8788
139.83.95.60,2026-02-03T19:42:11.685280,GET,categories/wp-content,500,4324
88.139.244.55,2026-01-15T16:30:59.992265,DELETE,wp-content,200,322
23.123.95.60,2026-01-23T14:27:35.884635,POST,tag/list/wp-content,301,4767
141.176.45.91,2026-01-12T12:42:15.696161,DELETE,app,200,6876
196.229.140.13,2026-02-17T13:01:40.227397,PUT,app/tag/posts,200,5140
18.174.99.42,2026-01-26T06:04:23.178886,PUT,categories/category/app,301,4563
52.100.62.148,2026-02-14T03:58:48.709182,DELETE,search/posts/wp-content,200,2931
130.146.73.80,2026-02-04T16:56:30.237427,PUT,explore/main/explore,301,3939
42.12.36.145,2026-02-19T21:46:21.225692,PUT,tags,500,3414
134.102.157.51,2026-02-09T04:28:36.017735,PUT,list/app,200,9876
82.115.232.3,2026-01-18T04:20:36.198986,GET,blog,500,2076
66.78.159.143,2026-02-22T16:50:34.181611,PUT,app/wp-content/list,301,699
97.162.22.177,2026-01-14T09:34:33.782986,DELETE,posts/explore,301,4673
113.157.173.158,2026-01-05T13:47:17.230107,POST,main/category/app,500,171
208.77.179.156,2026-01-19T13:08:53.470573,GET,tag/explore/tag,200,130
87.95.70.41,2026-01-13T21:02:38.214047,DELETE,list/app,404,6065
173.86.250.11,2026-02-09T12:53:32.324469,GET,wp-content,200,1072
185.222.51.4,2026-02-21T05:34:11.008744,GET,explore,500,1939
47.80.29.229,2026-01-09T09:47:31.223955,PUT,posts,301,3420
144.134.56.47,2026-02-22T01:52:32.403353,DELETE,explore/category,500,9079
110.223.111.61,2026-01-18T01:49:08.305478,DELETE,tag/tag/search,200,3565
129.209.222.217,2026-02-08T09:10:24.395947,POST,blog,200,7838
82.221.10.200,2026-02-07T01:08:27.515949,POST,tags/wp-content/wp-content,404,4209
188.161.128.234,2026-01-25T12:40:14.210614,POST,wp-content/posts/app,200,2743
108.119.165.54,2026-02-13T22:33:01.461638,DELETE,tags,500,3482
5.0.74.220,2026-02-14T12:39:07.404173,GET,tags/tags/list,500,511
62.219.198.60,2026-01-22T11:20:51.662163,DELETE,main,500,366
29.72.77.220,2026-01-04T14:58:00.660965,POST,blog,200,9885
68.219.54.119,2026-01-10T22:39:02.738320,POST,explore/wp-content,404,399
193.231.197.214,2026-01-11T11:06:48.083593,POST,blog/list/list,404,3518
218.186.165.234,2026-01-28T10:45:00.030242,POST,categories,404,3827
17.45.84.25,2026-01-07T20:46:58.919940,GET,category,301,3758
199.9.117.117,2026-01-28T13:31:13.321123,DELETE,app/main,200,7140
65.1.191.149,2026-01-05T13:50:07.071449,DELETE,posts,500,2970
36.127.234.218,2026-02-11T19:29:08.733630,PUT,tags/wp-content,500,4032
131.195.65.53,2026-01-04T21:01:34.503808,PUT,search/posts,404,8149
68.15.23.84,2026-02-14T11:31:46.866038,POST,list,500,7147
121.59.40.20,2026-01-25T10:07:59.629505,DELETE,app/explore/wp-content,301,7821
176.143.204.165,2026-02-01T08:19:02.595874,PUT,wp-content/categories,200,4399
30.90.177.84,2026-01-05T23:41:01.286688,POST,wp-content,301,7999
169.48.94.232,2026-02-04T19:29:19.326229,POST,blog,200,506
184.100.241.132,2026-01-07T04:49:55.471588,PUT,wp-content,200,1654
47.145.230.240,2026-02-02T22:38:38.651292,GET,app/search,500,183
89.157.159.215,2026-01-10T04:28:06.133142,DELETE,explore/posts,200,5302
186.230.118.214,2026-01-07T15:03:10.824438,DELETE,wp-content/category,404,4526
51.140.110.42,2026-01-21T04:53:37.371528,POST,tags/tag,200,9702
50.61.127.192,2026-01-27T05:13:45.465637,PUT,app/list,301,9668
40.150.146.203,2026-01-02T08:24:52.473142,GET,blog,500,753
135.17.207.2,2026-01-03T07:26:54.096638,GET,tag/wp-content,200,8839
107.244.245.200,2026-02-18T10:20:43.216545,PUT,app/wp-content/search,301,7436
65.124.111.157,2026-02-13T10:20:06.667562,PUT,blog/main/search,200,9150
52.103.40.229,2026-01-27T19:43:52.878221,POST,categories,404,8709
101.98.203.247,2026-01-21T02:02:48.485698,PUT,tag,200,8947
8.63.13.192,2026-02-06T12:16:50.288167,GET,blog/search/explore,404,5624
45.138.141.20,2026-02-04T09:49:31.309907,DELETE,wp-content/posts/tag,404,4253
171.129.50.63,2026-02-09T01:17:23.213102,PUT,wp-content,404,7246
167.150.230.134,2026-02-14T05:13:28.224983,DELETE,app/list/blog,404,9206
90.15.42.118,2026-02-16T13:57:14.702676,POST,posts,404,7974
217.23.251.194,2026-01-05T12:25:35.516463,DELETE,app/wp-content,500,4794
60.56.114.1,2026-02-15T03:04:33.001129,GET,tags,301,8513
140.141.135.106,2026-02-07T14:36:58.444424,GET,search/category,500,3751
64.123.53.98,2026-01-11T09:46:10.133325,GET,categories,404,4423
115.79.20.213,2026-02-13T05:51:10.071492,GET,wp-content/wp-content/categories,200,1835
87.87.158.134,2026-01-10T03:32:01.640661,DELETE,category/tag/categories,301,1266
71.147.137.121,2026-02-23T14:51:45.801731,POST,tag/wp-content,301,819
172.244.155.91,2026-01-11T13:18:39.482692,POST,main/wp-content/app,200,8441
177.15.132.28,2026-01-23T10:17:08.980551,PUT,explore,301,5657
191.120.152.111,2026-02-22T01:46:41.419289,GET,blog/category/app,500,6807
44.133.184.198,2026-02-28T03:22:23.338042,POST,main/blog/blog,500,2263
2.175.165.215,2026-02-10T23:49:38.268654,DELETE,posts/tag/main,500,1067
90.118.147.238,2026-01-02T10:37:11.535923,PUT,main,404,285
220.65.29.201,2026-01-15T12:26:34.611819,GET,search/list,200,2546
166.170.232.34,2026-02-27T05:17:19.377047,POST,categories/list/explore,500,4433
31.26.19.52,2026-01-18T22:40:28.463392,PUT,app,200,3554
209.6.231.235,2026-02-14T08:36:25.663596,PUT,list,200,711
67.254.17.162,2026-02-04T19:37:28.786129,DELETE,main/blog/posts,404,5303
33.52.109.220,2026-01-26T04:17:28.502700,GET,categories/search/list,500,5774
144.88.168.13,2026-02-18T16:42:41.093682,GET,app/tag,500,4955
138.26.122.251,2026-01-16T02:36:51.867528,PUT,app/posts,301,3639
57.243.220.192,2026-01-07T20:07:59.889741,PUT,explore/wp-content,500,2951
156.241.19.233,2026-01-04T05:14:38.471136,PUT,explore/main,200,5708
59.250.160.190,2026-02-17T05:37:36.043754,GET,list/blog,200,3104
42.58.14.141,2026-02-06T07:31:02.693507,DELETE,categories,200,1641
140.236.57.218,2026-01-28T13:37:57.937759,POST,categories,500,1221
222.187.224.90,2026-02-26T04:11:29.957758,GET,search/list/main,301,9831
101.77.187.126,2026-01-08T15:31:11.234942,PUT,category/tags,200,227
50.16.35.209,2026-01-28T10:34:42.488046,DELETE,list/category/tag,500,5895
173.13.239.99,2026-01-23T14:25:06.400451,DELETE,main/categories/category,404,1391
33.251.58.180,2026-01-09T23:19:51.716936,PUT,category/explore,301,8526
140.183.150.191,2026-01-14T09:14:42.236598,PUT,app,200,5683
103.231.109.238,2026-02-25T01:11:59.751243,POST,posts/tag,301,3475
6.25.7.23,2026-01-23T09:49:10.344033,POST,main/category/blog,500,4231
